business_name,contact,address,website,category,location,scraped_at,source
Taste Buds Bandra,+91-7321116451,"872 Main Road, Bandra, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Hunger Station Goregaon,+91-7685073163,"859 Main Road, Goregaon, Mumbai",https://hungerstationgoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Delicious Bites Kandivali,+91-7280373218,"689 Main Road, Kandivali, Mumbai",https://deliciousbiteskandivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Flavor Town Juhu,+91-9630389411,"771 Lane, Juhu, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Pizza Palace Andheri,+91-8233681649,"906 Street, Andheri, Mumbai",,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Burger Junction Borivali,+91-7841157015,"365 Lane, Borivali, Mumbai",https://burgerjunctionborivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Spice Garden Goregaon,+91-9166593636,"619 Main Road, Goregaon, Mumbai",https://spicegardengoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Royal Dine Goregaon,8113160344,"100 Street, Goregaon, Mumbai",https://royaldinegoregaon.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Cafe Corner Kandivali,+91-9854014897,"428 Lane, Kandivali, Mumbai",https://cafecornerkandivali.com,restaurants,Mumbai,2025-08-06 09:32:55,Demo Generator
Fashion Hub Malad,+91-7818366992,"426 Avenue, Malad, Mumbai",https://fashionhubmalad.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Electronics Store Thane,+91-8424552914,"89 Street, Thane, Mumbai",https://electronicsstorethane.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Book World Thane,7944097121,"93 Lane, Thane, Mumbai",,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Gift Corner Thane,+91-9240536123,"246 Avenue, Thane, Mumbai",,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Mobile Zone Kandivali,+91-7337992393,"644 Lane, Kandivali, Mumbai",https://mobilezonekandivali.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Clothing Center Thane,+91-7260970890,"972 Main Road, Thane, Mumbai",https://clothingcenterthane.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Gadget Shop Powai,+91-8442743895,"333 Avenue, Powai, Mumbai",https://gadgetshoppowai.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Style Studio Powai,+91-8706837802,"272 Avenue, Powai, Mumbai",https://stylestudiopowai.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Tech Point Bandra,7486954680,"881 Avenue, Bandra, Mumbai",https://techpointbandra.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Shopping Mart Borivali,8854358280,"295 Street, Borivali, Mumbai",https://shoppingmartborivali.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Fashion Hub Malad,+91-7054467023,"862 Street, Malad, Mumbai",https://fashionhubmalad.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Electronics Store Borivali,7060851030,"491 Avenue, Borivali, Mumbai",https://electronicsstoreborivali.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Book World Goregaon,7402927679,"243 Street, Goregaon, Mumbai",https://bookworldgoregaon.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Gift Corner Kandivali,+91-9927657801,"327 Avenue, Kandivali, Mumbai",https://giftcornerkandivali.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Mobile Zone Goregaon,+91-9580390969,"99 Avenue, Goregaon, Mumbai",https://mobilezonegoregaon.com,shops,Mumbai,2025-08-06 09:32:55,Demo Generator
Quick Fix Kandivali,+91-9067297453,"62 Lane, Kandivali, Mumbai",https://quickfixkandivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Service Pro Borivali,+91-9102178538,"388 Street, Borivali, Mumbai",https://serviceproborivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Help Desk Bandra,+91-7458343916,"788 Lane, Bandra, Mumbai",https://helpdeskbandra.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Solution Center Borivali,+91-9355753099,"580 Lane, Borivali, Mumbai",https://solutioncenterborivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Assist Plus Borivali,+91-8171489598,"872 Main Road, Borivali, Mumbai",,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Care Services Juhu,+91-9706485214,"983 Main Road, Juhu, Mumbai",,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Expert Help Kurla,+91-7745972652,"845 Street, Kurla, Mumbai",https://experthelpkurla.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Professional Aid Powai,+91-9868464417,"26 Main Road, Powai, Mumbai",https://professionalaidpowai.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Support Zone Kandivali,+91-9387055080,"462 Main Road, Kandivali, Mumbai",https://supportzonekandivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Service Hub Goregaon,+91-9454478357,"769 Street, Goregaon, Mumbai",https://servicehubgoregaon.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Quick Fix Kandivali,9828391724,"634 Lane, Kandivali, Mumbai",https://quickfixkandivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Service Pro Bandra,7332021471,"353 Lane, Bandra, Mumbai",https://serviceprobandra.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Help Desk Andheri,+91-7405018188,"585 Avenue, Andheri, Mumbai",https://helpdeskandheri.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Solution Center Thane,+91-8153287255,"26 Street, Thane, Mumbai",,services,Mumbai,2025-08-06 09:32:55,Demo Generator
Assist Plus Kandivali,+91-7653143739,"359 Street, Kandivali, Mumbai",https://assistpluskandivali.com,services,Mumbai,2025-08-06 09:32:55,Demo Generator
